No.,ソース,通貨ペア,エントリー時刻,エグジット時刻,方向,エントリー価格,エグジット価格,Pips差,エントリーBID,エントリーASK,エグジットBID,エグジットASK,エントリースプレッド,エグジットスプレッド,取得時刻,スコア
18,利益効率（Hatch検証）日中版③,USDJPY,11:58:00,12:04:00,Short,143.968,144.132,-16.4,143.968,144.132,143.968,144.132,0,0,2025-05-31T11:58:48.899435,
19,利益効率（Hatch検証）②,USDJPY,11:58:00,12:04:00,Short,143.968,144.132,-16.4,143.968,144.132,143.968,144.132,0,0,2025-05-31T11:59:01.744626,
20,勝率重視（ぶりんださん検証） 日中版④,EURJPY,11:58:00,12:04:00,Short,163.338,163.59,-25.2,163.338,163.59,163.338,163.59,0,0,2025-05-31T11:59:18.723835,
21,勝率重視（ぶりんださん検証）②,EURJPY,11:58:00,12:04:00,Short,163.338,163.59,-25.2,163.338,163.59,163.338,163.59,0,0,2025-05-31T11:59:30.576563,
22,最大利益 日中版③,USDJPY,11:58:00,12:04:00,Short,143.968,144.132,-16.4,143.968,144.132,143.968,144.132,0,0,2025-05-31T12:00:15.176596,
23,最大利益 終日版②,USDJPY,11:58:00,12:04:00,Short,143.968,144.132,-16.4,143.968,144.132,143.968,144.132,0,0,2025-05-31T12:00:28.164791,
24,時間効率重視 日中版③,USDJPY,12:01:00,12:04:00,Short,143.968,144.132,-16.4,143.968,144.132,143.968,144.132,0,0,2025-05-31T11:59:46.357302,
25,時間効率重視 終日版②,USDJPY,12:01:00,12:04:00,Short,143.968,144.132,-16.4,143.968,144.132,143.968,144.132,0,0,2025-05-31T11:59:59.424254,
26,entrypoints⑤,USDJPY,14:43:00,14:58:00,Short,143.968,144.132,-16.4,143.968,144.132,143.968,144.132,0,0,2025-05-31T11:58:38.890455,9.6
27,勝率重視（ぶりんださん検証） 日中版⑤,USDJPY,14:52:00,14:59:00,Short,143.968,144.132,-16.4,143.968,144.132,143.968,144.132,0,0,2025-05-31T11:59:20.144065,
28,勝率重視（ぶりんださん検証）③,USDJPY,14:52:00,14:59:00,Short,143.968,144.132,-16.4,143.968,144.132,143.968,144.132,0,0,2025-05-31T11:59:32.038381,
29,最大利益 日中版④,USDJPY,14:52:00,14:59:00,Short,143.968,144.132,-16.4,143.968,144.132,143.968,144.132,0,0,2025-05-31T12:00:16.552654,
30,最大利益 終日版③,USDJPY,14:52:00,14:59:00,Short,143.968,144.132,-16.4,143.968,144.132,143.968,144.132,0,0,2025-05-31T12:00:29.632228,
31,利益効率（Hatch検証）日中版④,USDJPY,14:55:00,14:58:00,Short,143.968,144.132,-16.4,143.968,144.132,143.968,144.132,0,0,2025-05-31T11:58:50.347026,
32,利益効率（Hatch検証）③,USDJPY,14:55:00,14:58:00,Short,143.968,144.132,-16.4,143.968,144.132,143.968,144.132,0,0,2025-05-31T11:59:03.158418,
33,時間効率重視 日中版④,USDJPY,14:55:00,14:58:00,Short,143.968,144.132,-16.4,143.968,144.132,143.968,144.132,0,0,2025-05-31T11:59:47.798305,
34,時間効率重視 終日版③,USDJPY,14:55:00,14:58:00,Short,143.968,144.132,-16.4,143.968,144.132,143.968,144.132,0,0,2025-05-31T12:00:00.849283,
35,勝率重視（ぶりんださん検証） 日中版⑥,EURJPY,15:13:00,15:16:00,Long,163.59,163.338,-25.2,163.338,163.59,163.338,163.59,0,0,2025-05-31T11:59:21.583510,
36,時間効率重視 日中版⑤,EURJPY,15:13:00,15:16:00,Long,163.59,163.338,-25.2,163.338,163.59,163.338,163.59,0,0,2025-05-31T11:59:49.365939,
37,時間効率重視 終日版④,EURJPY,15:13:00,15:16:00,Long,163.59,163.338,-25.2,163.338,163.59,163.338,163.59,0,0,2025-05-31T12:00:02.309533,
38,利益効率（Hatch検証）日中版⑤,USDJPY,16:06:00,16:09:00,Short,143.968,144.132,-16.4,143.968,144.132,143.968,144.132,0,0,2025-05-31T11:58:51.792918,
39,利益効率（Hatch検証）④,USDJPY,16:06:00,16:09:00,Short,143.968,144.132,-16.4,143.968,144.132,143.968,144.132,0,0,2025-05-31T11:59:04.593507,
40,勝率重視（ぶりんださん検証） 日中版⑦,USDJPY,16:06:00,16:13:00,Short,143.968,144.132,-16.4,143.968,144.132,143.968,144.132,0,0,2025-05-31T11:59:22.980940,
41,勝率重視（ぶりんださん検証）④,USDJPY,16:06:00,16:13:00,Short,143.968,144.132,-16.4,143.968,144.132,143.968,144.132,0,0,2025-05-31T11:59:33.483096,
42,時間効率重視 日中版⑥,USDJPY,16:06:00,16:09:00,Short,143.968,144.132,-16.4,143.968,144.132,143.968,144.132,0,0,2025-05-31T11:59:50.829070,
43,時間効率重視 終日版⑤,USDJPY,16:06:00,16:09:00,Short,143.968,144.132,-16.4,143.968,144.132,143.968,144.132,0,0,2025-05-31T12:00:03.717443,
44,最大利益 日中版⑤,USDJPY,16:06:00,16:16:00,Short,143.968,144.132,-16.4,143.968,144.132,143.968,144.132,0,0,2025-05-31T12:00:18.037807,
45,最大利益 終日版④,USDJPY,16:06:00,16:16:00,Short,143.968,144.132,-16.4,143.968,144.132,143.968,144.132,0,0,2025-05-31T12:00:31.097544,
46,利益効率（Hatch検証）日中版⑥,EURJPY,16:48:00,16:56:00,Long,163.59,163.338,-25.2,163.338,163.59,163.338,163.59,0,0,2025-05-31T11:58:53.221763,
47,勝率重視（ぶりんださん検証） 日中版⑧,EURJPY,16:48:00,16:56:00,Long,163.59,163.338,-25.2,163.338,163.59,163.338,163.59,0,0,2025-05-31T11:59:24.430050,
48,勝率重視（ぶりんださん検証）⑤,EURJPY,16:48:00,16:56:00,Long,163.59,163.338,-25.2,163.338,163.59,163.338,163.59,0,0,2025-05-31T11:59:34.930036,
49,最大利益 日中版⑥,EURJPY,16:48:00,16:58:00,Long,163.59,163.338,-25.2,163.338,163.59,163.338,163.59,0,0,2025-05-31T12:00:19.491460,
